,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,highway-mpg,price
154,0,91.0,13,0.0,1.0,1,4,2.0,1.0,95.7,166.3,64.4,53.0,2275,4.0,4.0,110,4.0,3.27,3.35,9.0,56.0,4500.0,36,7898
155,0,91.0,13,0.0,1.0,1,3,2.0,1.0,95.7,166.3,64.4,52.8,2275,4.0,4.0,110,4.0,3.27,3.35,9.0,56.0,4500.0,47,7788
156,0,91.0,13,1.0,1.0,1,4,2.0,1.0,95.7,166.3,64.4,53.0,2094,4.0,4.0,98,5.0,3.19,3.03,9.0,70.0,4800.0,47,7738
157,0,91.0,13,1.0,1.0,1,3,2.0,1.0,95.7,166.3,64.4,52.8,2122,4.0,4.0,98,5.0,3.19,3.03,9.0,70.0,4800.0,34,8358
158,0,91.0,13,1.0,1.0,1,4,2.0,1.0,95.7,166.3,64.4,52.8,2140,4.0,4.0,98,5.0,3.19,3.03,9.0,70.0,4800.0,34,9258
159,1,168.0,13,1.0,1.0,0,4,1.0,1.0,94.5,168.7,64.0,52.6,2169,4.0,4.0,98,5.0,3.19,3.03,9.0,70.0,4800.0,34,8058
160,1,168.0,13,1.0,1.0,0,3,1.0,1.0,94.5,168.7,64.0,52.6,2204,4.0,4.0,98,5.0,3.19,3.03,9.0,70.0,4800.0,34,8238
161,1,168.0,13,1.0,1.0,0,4,1.0,1.0,94.5,168.7,64.0,52.6,2265,1.0,4.0,98,6.0,3.24,3.08,9.4,112.0,5200.0,29,9298
162,1,168.0,13,1.0,1.0,0,3,1.0,1.0,94.5,168.7,64.0,52.6,2300,1.0,4.0,98,6.0,3.24,3.08,9.4,112.0,5200.0,29,9538
163,2,134.0,13,1.0,1.0,0,1,1.0,1.0,98.4,176.2,65.6,52.0,2540,4.0,4.0,146,6.0,3.62,3.5,9.3,116.0,4800.0,30,8449
164,2,134.0,13,1.0,1.0,0,1,1.0,1.0,98.4,176.2,65.6,52.0,2536,4.0,4.0,146,6.0,3.62,3.5,9.3,116.0,4800.0,30,9639
165,2,134.0,13,1.0,1.0,0,3,1.0,1.0,98.4,176.2,65.6,52.0,2551,4.0,4.0,146,6.0,3.62,3.5,9.3,116.0,4800.0,30,9989
166,2,134.0,13,1.0,1.0,0,1,1.0,1.0,98.4,176.2,65.6,52.0,2679,4.0,4.0,146,6.0,3.62,3.5,9.3,116.0,4800.0,30,11199
167,2,134.0,13,1.0,1.0,0,3,1.0,1.0,98.4,176.2,65.6,52.0,2714,4.0,4.0,146,6.0,3.62,3.5,9.3,116.0,4800.0,30,11549
168,2,134.0,13,1.0,1.0,0,0,1.0,1.0,98.4,176.2,65.6,53.0,2975,4.0,4.0,146,6.0,3.62,3.5,9.3,116.0,4800.0,30,17669
169,-1,65.0,13,1.0,1.0,1,4,2.0,1.0,102.4,175.6,66.5,54.9,2326,4.0,4.0,122,6.0,3.31,3.54,8.7,92.0,4200.0,34,8948
170,-1,65.0,13,0.0,0.0,1,4,2.0,1.0,102.4,175.6,66.5,54.9,2480,4.0,4.0,110,4.0,3.27,3.35,9.0,73.0,4500.0,33,10698
171,-1,65.0,13,1.0,1.0,1,3,2.0,1.0,102.4,175.6,66.5,53.9,2414,4.0,4.0,122,6.0,3.31,3.54,8.7,92.0,4200.0,32,9988
172,-1,65.0,13,1.0,1.0,1,4,2.0,1.0,102.4,175.6,66.5,54.9,2414,4.0,4.0,122,6.0,3.31,3.54,8.7,92.0,4200.0,32,10898
173,-1,65.0,13,1.0,1.0,1,3,2.0,1.0,102.4,175.6,66.5,53.9,2458,4.0,4.0,122,6.0,3.31,3.54,8.7,92.0,4200.0,32,11248
174,3,115.0,13,1.0,1.0,0,3,1.0,1.0,102.9,183.5,67.7,52.0,2976,1.0,3.0,171,6.0,3.27,3.35,9.3,161.0,5200.0,24,16558
175,3,115.0,13,1.0,1.0,0,3,1.0,1.0,102.9,183.5,67.7,52.0,3016,1.0,3.0,171,6.0,3.27,3.35,9.3,161.0,5200.0,24,15998
176,-1,90.0,13,1.0,1.0,1,4,1.0,1.0,104.5,187.8,66.5,54.1,3131,1.0,3.0,171,6.0,3.27,3.35,9.2,156.0,5200.0,24,15690
177,-1,115.0,13,1.0,1.0,1,2,1.0,1.0,104.5,187.8,66.5,54.1,3151,1.0,3.0,161,6.0,3.27,3.35,9.2,156.0,5200.0,24,15750
178,2,122.0,9,0.0,1.0,0,4,2.0,1.0,97.3,171.7,65.5,55.7,2261,4.0,4.0,97,4.0,3.01,3.4,9.0,52.0,4800.0,46,7775
179,2,122.0,9,1.0,1.0,0,4,2.0,1.0,97.3,171.7,65.5,55.7,2209,4.0,4.0,109,6.0,3.19,3.4,9.0,85.0,5250.0,34,7975
180,2,94.0,9,0.0,1.0,1,4,2.0,1.0,97.3,171.7,65.5,55.7,2264,4.0,4.0,97,4.0,3.01,3.4,9.0,52.0,4800.0,46,7995
181,2,94.0,9,1.0,1.0,1,4,2.0,1.0,97.3,171.7,65.5,55.7,2212,4.0,4.0,109,6.0,3.19,3.4,9.0,85.0,5250.0,34,8195
182,2,94.0,9,1.0,1.0,1,4,2.0,1.0,97.3,171.7,65.5,55.7,2275,4.0,4.0,109,6.0,3.19,3.4,9.0,85.0,5250.0,34,8495
183,2,94.0,9,0.0,0.0,1,4,2.0,1.0,97.3,171.7,65.5,55.7,2319,4.0,4.0,97,4.0,3.01,3.4,9.0,68.0,4500.0,42,9495
184,2,94.0,9,1.0,1.0,1,4,2.0,1.0,97.3,171.7,65.5,55.7,2300,4.0,4.0,109,6.0,3.19,3.4,10.0,100.0,5500.0,32,9995
185,3,115.0,9,1.0,1.0,0,0,2.0,1.0,94.5,159.3,64.2,55.6,2254,4.0,4.0,109,6.0,3.19,3.4,8.5,90.0,5500.0,29,11595
186,3,115.0,9,1.0,1.0,0,3,2.0,1.0,94.5,165.7,64.0,51.4,2221,4.0,4.0,109,6.0,3.19,3.4,8.5,90.0,5500.0,29,9980
187,0,115.0,9,1.0,1.0,1,4,2.0,1.0,100.4,180.2,66.9,55.1,2661,4.0,2.0,136,6.0,3.19,3.4,8.5,110.0,5500.0,24,13295
188,0,115.0,9,0.0,0.0,1,4,2.0,1.0,100.4,180.2,66.9,55.1,2579,4.0,4.0,97,4.0,3.01,3.4,9.0,68.0,4500.0,38,13845
189,0,115.0,9,1.0,1.0,1,2,2.0,1.0,100.4,183.1,66.9,55.1,2563,4.0,4.0,109,6.0,3.19,3.4,9.0,88.0,5500.0,31,12290
190,-2,103.0,8,1.0,1.0,1,4,1.0,1.0,104.3,188.8,67.2,56.2,2912,4.0,4.0,141,6.0,3.78,3.15,9.5,114.0,5400.0,28,12940
191,-1,74.0,8,1.0,1.0,1,2,1.0,1.0,104.3,188.8,67.2,57.5,3034,4.0,4.0,141,6.0,3.78,3.15,9.5,114.0,5400.0,28,13415
192,-2,103.0,8,1.0,1.0,1,4,1.0,1.0,104.3,188.8,67.2,56.2,2935,4.0,4.0,141,6.0,3.78,3.15,9.5,114.0,5400.0,28,15985
193,-1,74.0,8,1.0,1.0,1,2,1.0,1.0,104.3,188.8,67.2,57.5,3042,4.0,4.0,141,6.0,3.78,3.15,9.5,114.0,5400.0,28,16515
194,-2,103.0,8,1.0,0.0,1,4,1.0,1.0,104.3,188.8,67.2,56.2,3045,4.0,4.0,130,6.0,3.62,3.15,7.5,162.0,5100.0,22,18420
195,-1,74.0,8,1.0,0.0,1,2,1.0,1.0,104.3,188.8,67.2,57.5,3157,4.0,4.0,130,6.0,3.62,3.15,7.5,162.0,5100.0,22,18950
196,-1,95.0,8,1.0,1.0,1,4,1.0,1.0,109.1,188.8,68.9,55.5,2952,4.0,4.0,141,6.0,3.78,3.15,9.5,114.0,5400.0,28,16845
197,-1,95.0,8,1.0,0.0,1,4,1.0,1.0,109.1,188.8,68.8,55.5,3049,4.0,4.0,141,6.0,3.78,3.15,8.7,160.0,5300.0,25,19045
198,-1,95.0,8,1.0,1.0,1,4,1.0,1.0,109.1,188.8,68.9,55.5,3012,2.0,3.0,173,6.0,3.58,2.87,8.8,134.0,5500.0,23,21485
199,-1,95.0,8,0.0,0.0,1,4,1.0,1.0,109.1,188.8,68.9,55.5,3217,4.0,3.0,145,4.0,3.01,3.4,9.0,106.0,4800.0,27,22470
200,-1,95.0,8,1.0,0.0,1,4,1.0,1.0,109.1,188.8,68.9,55.5,3062,4.0,4.0,141,6.0,3.78,3.15,9.5,114.0,5400.0,25,22625
